bait	prey	source
sll0017	slr1887	string
slr0185	slr1418	string
sll1803	sll1804	string
sll1732	slr0261	string
sll0247	sll0819	string
sll0026	sll0223	string
slr1349	slr1843	string
slr1030	slr1055	string
sll1809	slr0469	string
sll1561	slr0661	string
sll1220	slr0844	string
slr1332	slr1511	string
slr0162	slr0163	string
sll1747	slr0055	string
sll1435	slr0877	string
sll0757	slr0520	string
sll0421	slr1226	string
slr1351	slr1656	string
sll2010	slr1656	string
sll1808	sll1809	string
sll1097	sll1098	string
sll0657	slr0528	string
sll0336	slr2023	string
sll0223	sll1732	string
slr0394	slr1945	string
sll0027	sll0520	string
sll2010	slr1267	string
sll1916	slr1691	string
sll1812	ssl3432	string
sll1804	sll1816	string
sll1099	sll1101	string
sll0757	slr1226	string
sll0578	slr0838	string
sll0026	sll0027	string
sll1994	slr0536	string
sll1742	sll1743	string
sll1470	sll1564	string
sll0819	slr1655	string
sll0643	slr1256	string
sll0506	slr0739	string
sll0220	sll1758	string
slr1123	slr1325	string
slr0327	slr1295	string
slr0186	slr0452	string
sll1833	slr0528	string
sll0899	sll1758	string
sll0849	sll0851	string
sll0057	sll0897	string
slr0899	slr1347	string
slr0435	slr2023	string
slr0435	slr1511	string
slr0063	slr0163	string
sll1823	slr1476	string
sll1802	ssl3432	string
sll1212	sll1370	string
sll1097	sll1099	string
sll0899	slr0017	string
sll0520	sll1733	string
slr2001	slr2002	string
sll1732	sll1733	string
sll1713	slr0500	string
sll1522	slr1369	string
sll1462	slr1498	string
sll1395	slr0836	string
sll1112	slr1559	string
sll0990	sll0992	string
sll0368	sll0838	string
sll1799	sll1806	string
slr1267	slr1351	string
sll1019	slr0381	string
sll0891	slr0018	string
sll0819	slr0737	string
sll0807	slr0194	string
sll0336	slr1511	string
slr1452	slr1454	string
slr0444	slr2081	string
slr0073	slr0322	string
slr0018	slr1233	string
sll1809	ssl3437	string
sll1501	slr0618	string
sll0927	slr0212	string
sll0753	slr0070	string
sll0401	sll0891	string
sll0144	sll0145	string
sll0027	sll1732	string
sll0026	sll1733	string
slr0070	slr1549	string
sll1958	slr0084	string
sll1821	sll1822	string
sll1816	sll1817	string
sll1747	slr1979	string
sll1102	sll1103	string
sll0901	slr1159	string
sll0757	slr0213	string
slr0293	slr1096	string
sll1958	slr2081	string
sll1564	slr0186	string
sll0757	sll0901	string
sll0322	sll1462	string
slr0926	slr1099	string
slr0900	slr0902	string
slr0525	slr1055	string
sll1818	sll1819	string
sll1817	sll1818	string
sll1625	slr0018	string
sll0467	slr0713	string
sll0158	slr1176	string
slr1200	slr1201	string
sll1056	slr0519	string
slr1202	slr1723	string
slr0528	slr1656	string
slr0520	slr1226	string
sll1814	sll1818	string
sll1564	slr0452	string
sll1556	slr0739	string
sll1454	slr0898	string
sll1249	slr1974	string
slr0906	ssl2598	string
slr0536	slr1887	string
sll2010	slr1746	string
sll1747	slr0738	string
sll0833	sll1768	string
sll0757	slr0597	string
sll0469	sll0757	string
slr0938	slr1742	string
sll1848	slr1369	string
sll1804	sll1805	string
sll1800	sll1801	string
sll1260	sll1261	string
slr0827	slr1874	string
slr0628	ssl3432	string
sll1833	slr1656	string
sll1812	sll1817	string
sll1744	sll1746	string
sll0520	sll1223	string
sll0336	sll1069	string
sll0026	sll0520	string
slr1267	slr1656	string
sll1874	slr0525	string
sll1808	sll1814	string
sll1325	sll1326	string
sll0902	sll1498	string
sll0823	slr0018	string
sll0728	slr2023	string
slr0900	slr0903	string
sll1833	slr1423	string
sll1833	sll2010	string
sll1816	ssl3432	string
slr1267	slr1423	string
slr1022	slr1898	string
slr0216	slr0618	string
sll1823	slr1722	string
sll1816	sll1822	string
sll1746	sll1787	string
sll1069	ssl2084	string
sll1018	slr1418	string
sll0171	slr1096	string
slr1030	slr1777	string
slr0952	slr1349	string
slr0444	slr1559	string
slr0194	ssl2153	string
sll1823	slr0597	string
sll1818	sll1852	string
sll1804	sll1809	string
sll1799	sll1802	string
sll1732	slr2007	string
sll1440	slr1779	string
sll1070	slr0194	string
sll1043	sll1818	string
sll0657	sll1833	string
sll0145	sll1261	string
sll0144	sll1260	string
sll0027	sll1221	string
sll0026	slr2007	string
slr0118	slr0633	string
sll1732	slr2009	string
sll0080	sll1883	string
sll0026	slr2009	string
slr1510	slr1511	string
slr0844	slr2007	string
slr0056	slr0772	string
slr0056	slr0750	string
sll1804	sll1808	string
sll1522	slr1755	string
slr1655	ssr2831	string
slr0891	slr1744	string
slr0426	slr1093	string
slr0239	slr1879	string
sll1804	sll1814	string
sll1221	sll1733	string
sll0368	slr1476	string
slr0327	slr0513	string
sll1817	slr0469	string
sll1802	sll1804	string
sll1212	slr0493	string
sll1097	slr1463	string
slr0900	slr0901	string
slr0844	slr2009	string
sll1733	slr2009	string
sll1212	slr2074	string
sll0643	slr1899	string
sll0542	sll1299	string
sll0520	sll1732	string
sll0421	sll1430	string
sll0335	sll1039	string
sll0223	slr2009	string
sll0099	slr0252	string
slr0493	slr1072	string
sll2011	slr0527	string
sll1816	slr0469	string
sll1501	slr1925	string
sll1184	slr1784	string
sll0542	slr2132	string
sll0223	slr2007	string
sll1875	slr1784	string
sll1841	slr1849	string
sll1805	sll1813	string
sll1733	slr2007	string
sll1688	sll1760	string
sll1430	slr0213	string
sll1096	sll1787	string
sll0916	slr1879	string
sll0027	slr2009	string
sll0018	slr0952	string
sll0018	slr0783	string
slr1280	slr2007	string
slr0452	slr2088	string
sll1931	slr0212	string
sll1806	sll1809	string
sll1744	sll1745	string
sll0409	slr0492	string
sll0027	slr2007	string
sll0027	sll1220	string
sll0019	slr2136	string
ssl3437	ssl3441	string
slr1351	slr1423	string
slr1072	slr2074	string
slr1051	slr1511	string
slr0952	slr2094	string
slr0838	slr1226	string
slr0787	slr0920	string
sll1833	slr1351	string
sll1742	sll1744	string
sll1096	sll1099	string
sll0533	sll0535	string
sll0099	slr1368	string
slr0597	slr0838	string
slr0213	slr1123	string
sll1927	slr0324	string
sll1883	slr2035	string
sll1817	sll1819	string
sll1070	ssl2153	string
slr0530	slr0531	string
sll1804	slr0469	string
sll1325	slr1329	string
sll1220	sll1733	string
sll1069	slr1051	string
sll1043	sll1787	string
sll1018	slr0406	string
sll0891	slr0721	string
sll0657	slr1423	string
sll0370	slr1756	string
sll0145	sll1260	string
sll0144	sll1261	string
sll0067	sll1545	string
slr0891	slr1910	string
slr0528	slr1423	string
sll1501	slr1211	string
sll0838	slr0185	string
slr0940	slr1254	string
slr0553	slr0847	string
slr0544	slr0594	string
slr0528	slr1267	string
slr0051	slr1347	string
sll1802	sll1803	string
sll1744	sll1787	string
sll1655	slr1364	string
sll1099	sll1261	string
sll0207	sll1758	string
sll0166	slr0536	string
Q55207	slr1138	string
slr1136	slr1137	string
slr0525	slr1777	string
sll1811	sll1816	string
sll1747	slr1559	string
sll1744	slr0469	string
sll1443	sll1852	string
sll1277	sll2005	string
sll1035	slr1237	string
sll0920	slr0301	string
slr1510	slr2023	string
slr0898	slr1756	string
slr0743	slr0744	string
sll1813	sll1814	string
sll1801	sll1802	string
sll0848	sll2005	string
sll0838	sll1249	string
sll0753	slr0597	string
sll0504	slr1550	string
sll0220	sll0370	string
sll0171	sll1931	string
ssl3432	ssl3437	string
slr0074	slr0076	string
sll1841	slr2132	string
sll1713	slr2081	string
sll1370	slr1072	string
sll1325	sll1327	string
sll1097	sll1822	string
sll0657	slr1267	string
sll0469	sll1070	string
sll0378	slr0536	string
sll0329	ssl2153	string
sll0207	sll0244	string
sll0070	slr0597	string
sll0026	slr0844	string
sll0026	sll1221	string
sll1799	sll1810	string
sll1732	slr0844	string
sll1561	slr0710	string
sll1069	slr1332	string
sll0402	slr0036	string
sll0373	sll0461	string
sll0329	sll0807	string
sll0244	slr1299	string
sll0244	slr0809	string
sll0018	slr0884	string
slr0836	slr0983	string
slr0721	slr1556	string
sll2010	slr1351	string
sll1816	sll1819	string
sll0712	slr1842	string
sll0370	sll0902	string
sll0370	sll0757	string
sll0171	sll0753	string
slr1678	ssr2799	string
slr0836	slr1067	string
slr0809	slr1067	string
slr0738	slr1979	string
slr0055	slr0966	string
slr0055	slr0543	string
sll1981	slr2088	string
sll1074	slr0032	string
sll0757	slr1691	string
sll0542	sll0728	string
sll0329	slr0194	string
sll0300	slr1882	string
sll0244	slr0836	string
sll0220	sll1502	string
slr1672	slr1755	string
slr0752	slr0783	string
sll1852	slr1164	string
sll1800	sll1804	string
sll1799	sll1800	string
sll1443	slr0752	string
sll1221	sll1732	string
sll1172	sll1688	string
sll0680	sll0681	string
sll0519	sll1223	string
sll0502	slr1133	string
sll0026	sll1220	string
slr2007	slr2009	string
slr1316	slr1318	string
slr0963	slr1842	string
slr0710	slr1756	string
sll1958	slr0652	string
sll1893	sll1958	string
sll1085	slr0783	string
sll1027	slr1756	string
sll0833	sll1927	string
sll0542	slr1993	string
sll0220	slr0213	string
sll0018	sll1070	string
slr1538	slr1879	string
slr0985	slr1933	string
slr0220	slr0293	string
sll1815	slr1164	string
sll1814	ssl3441	string
sll1768	sll1927	string
sll1641	slr0710	string
sll1223	slr0261	string
sll1070	slr1349	string
sll1070	sll1776	string
sll0916	slr1467	string
sll0807	ssl2153	string
sll0672	sll1076	string
sll0220	sll0899	string
sll0166	sll0378	string
slr0435	slr1332	string
slr0075	slr0077	string
sll1496	sll1558	string
sll1212	slr1072	string
sll1198	sll1740	string
sll0764	slr1201	string
slr1067	slr1299	string
slr1067	slr1078	string
slr0293	slr0638	string
slr0161	slr0163	string
sll1823	slr0585	string
sll1809	sll1810	string
sll1612	slr2026	string
sll1220	sll1732	string
sll1059	sll1815	string
sll1056	slr1226	string
sll1035	sll1249	string
sll0902	slr1022	string
sll0873	slr0049	string
sll0078	slr2072	string
sll0027	sll1733	string
slr1744	slr1910	string
slr1171	slr1992	string
slr0597	slr1722	string
slr0546	slr1979	string
sll1800	sll1805	string
sll1370	slr1334	string
sll1260	sll1804	string
sll1223	slr1280	string
sll1070	slr0952	string
sll1069	sll1605	string
sll0891	sll0920	string
sll0823	sll1625	string
sll0728	slr1332	string
sll0207	slr0809	string
Q55207	slr1137	string
slr1031	ssr1720	string
slr0528	slr1665	string
slr0186	slr1993	string
sll1958	slr0608	string
sll1931	slr0597	string
sll1931	slr0477	string
sll1806	sll1817	string
sll1800	ssl3432	string
sll1641	slr1756	string
sll1641	slr0585	string
sll1633	slr1351	string
sll1360	slr0446	string
sll1234	slr0212	string
sll0480	slr1476	string
sll0290	sll1546	string
sll0207	slr1067	string
slr1934	slr2132	string
slr0739	slr1255	string
slr0163	slr1120	string
sll1805	sll1814	string
sll1641	slr2079	string
sll1342	slr0783	string
sll0712	slr0963	string
sll0455	slr0549	string
sll0370	slr0213	string
sll0244	slr1067	string
sll0070	sll0753	string
slr0536	slr1808	string
slr0070	slr0597	string
sll1814	sll1816	string
sll1806	sll1816	string
sll1804	sll1806	string
sll1430	slr0597	string
sll1043	ssl1784	string
sll0402	sll0892	string
sll0356	slr0055	string
sll0322	slr1498	string
sll0220	sll1498	string
sll0070	slr0477	string
sll0006	sll0938	string
slr0809	slr1933	string
sll1967	slr0357	string
sll1813	ssl3441	string
sll1806	sll1812	string
sll1721	slr2132	string
sll1713	slr1925	string
sll1713	sll1958	string
sll1633	slr1656	string
sll1633	slr1267	string
sll1502	slr0710	string
sll1499	slr0710	string
sll1223	slr1279	string
sll1184	sll1875	string
sll0521	sll1223	string
sll0427	sll1194	string
sll0402	slr0090	string
slr0944	slr0946	string
slr0212	slr0649	string
sll1981	slr1934	string
sll1852	slr0591	string
sll1815	sll1852	string
sll1811	sll1818	string
sll1787	sll1852	string
sll1758	slr0194	string
sll1498	slr0213	string
sll1223	slr1281	string
sll0902	slr1898	string
sll0657	slr1874	string
sll0657	sll1633	string
sll0421	sll1815	string
sll0368	slr0361	string
sll0336	slr1332	string
sll0312	sll1927	string
sll0026	sll1732	string
slr0809	slr0836	string
slr0783	slr1755	string
slr0493	slr2074	string
slr0473	slr0474	string
slr0261	slr2009	string
slr0261	slr2007	string
sll1816	ssl3441	string
sll1810	sll1813	string
sll1804	ssl3432	string
sll1356	slr1367	string
sll1324	sll1326	string
sll1101	ssl3437	string
sll1059	slr1164	string
sll0990	slr0091	string
sll0927	slr0649	string
sll0726	slr1349	string
sll0593	slr1349	string
sll0519	slr2009	string
sll0519	slr2007	string
sll0422	sll1823	string
sll0421	sll1059	string
sll0099	slr0239	string
sll0018	slr2094	string
smr0006	smr0007	string
slr1280	slr2009	string
slr1096	slr2132	string
slr0525	slr0905	string
sll1958	slr0090	string
sll1808	sll1812	string
sll1641	sll1823	string
sll1633	slr1423	string
sll1223	slr0844	string
sll0892	slr0526	string
sll0757	sll1498	string
sll0542	slr0435	string
sll0542	slr0186	string
sll0244	slr1078	string
sll0223	sll1223	string
sll0070	sll1931	string
slr0809	slr0983	string
slr0457	slr0744	string
sll1799	ssl3437	string
sll1746	ssl3437	string
sll1502	slr1756	string
sll1502	sll1561	string
sll1430	sll1815	string
sll0807	sll1525	string
sll0409	sll0603	string
sll0220	sll0726	string
sll0179	sll0480	string
slr1051	slr1332	string
slr0774	slr0775	string
slr0493	slr1334	string
slr0051	slr0899	string
sll1815	slr0591	string
sll1812	ssl3437	string
sll1721	slr1993	string
sll1499	slr1756	string
sll1027	sll1498	string
sll0990	sll1019	string
sll0542	sll1841	string
sll0067	slr1171	string
sll0042	sll0043	string
sll1745	sll1787	string
sll1363	slr0186	string
sll0202	slr0072	string
slr1993	slr2132	string
slr1991	ssl2982	string
slr1934	slr2088	string
slr1934	slr1993	string
slr1756	slr2079	string
slr1746	slr2079	string
slr1746	slr1756	string
slr1703	slr2072	string
slr1691	slr2079	string
slr1691	slr1756	string
slr1656	slr1756	string
slr1556	slr1934	string
slr1476	slr1720	string
slr1448	slr2094	string
slr1434	slr1691	string
slr1349	slr2094	string
slr1349	slr1448	string
slr1334	slr2074	string
slr1281	slr2009	string
slr1281	slr2007	string
slr1279	slr2009	string
slr1279	slr2007	string
slr1269	slr1992	string
slr1239	slr1691	string
slr1238	slr1992	string
slr1238	slr1269	string
slr1171	slr1269	string
slr1171	slr1238	string
slr1164	slr1325	string
slr1124	slr1945	string
slr1123	slr1164	string
slr1096	slr1993	string
slr1096	slr1556	string
slr1078	slr1299	string
slr0983	slr1367	string
slr0983	slr1176	string
slr0983	slr1078	string
slr0983	slr1067	string
slr0958	slr1842	string
slr0952	slr1448	string
slr0943	slr2094	string
slr0943	slr0952	string
slr0942	slr1672	string
slr0926	slr1736	string
slr0920	slr1626	string
slr0898	slr2079	string
slr0884	slr0943	string
slr0861	slr2072	string
slr0861	slr1703	string
slr0836	slr1078	string
slr0809	slr1078	string
slr0809	slr0985	string
slr0787	slr1691	string
slr0787	slr1626	string
slr0787	slr1434	string
slr0787	slr1239	string
slr0787	slr0936	string
slr0783	slr0943	string
slr0752	slr2130	string
slr0752	slr1559	string
slr0752	slr1124	string
slr0737	slr1835	string
slr0721	slr1934	string
slr0721	slr1096	string
slr0710	slr2079	string
slr0710	slr1746	string
slr0638	slr0861	string
slr0624	slr1129	string
slr0591	slr1325	string
slr0591	slr1123	string
slr0585	slr1720	string
