Gene 	stress
slr1686	NACL
ssl2971	NACL
slr0895	NACL
sll1652	NACL
slr0852	NACL
slr1641	HEAT
sll1514	HEAT
slr2075	HEAT
sll0416	HEAT
slr0093	HEAT
sll0430	HEAT
slr0095	HEAT
sll0306	HEAT
slr1963	HEAT
sll0170	HEAT
slr1285	HEAT
sll1621	HEAT
ssl3044	HEAT
slr2076	HEAT
ssl1633	HEAT
slr1204	HEAT
slr1516	HEAT
sll1483	HEAT
sll1009	HEAT
slr1675	HEAT
sll1507	HEAT
slr1674	HEAT
sll0528	HEAT
ssl2971	HEAT
sll0939	HEAT
sll0846	HEAT
slr0967	HEAT
slr1915	HEAT
slr0589	HEAT
slr1686	HEAT
slr1597	HEAT
sll1433	HEAT
sll1680	HEAT
slr1603	HEAT
sll0688	HEAT
slr0364	HEAT
sll1652	HEAT
slr1413	HEAT
slr1712	HEAT
ssr2016	H202
sll1515	H202
sll1514	H202
ssr2595	H202
sll1549	H202
ssl1911	H202
ssl2542	H202
ssl0453	H202
ssl3044	H202
slr0093	H202
ssl0452	H202
slr1291	H202
sll1483	H202
slr1641	H202
sll1621	H202
ssl1633	H202
slr1738	H202
sll0330	H202
slr0611	H202
slr1318	H202
sll0248	H202
sll0247	H202
sll0990	H202
slr1295	H202
slr0228	H202
slr1963	H202
sll0170	H202
slr0008	H202
slr1675	H202
sll0306	H202
sll1541	H202
slr0095	H202
sll0992	H202
slr1544	H202
sll0528	H202
sll0846	H202
slr1687	H202
slr0967	H202
slr1674	H202
sll0939	H202
slr1603	H202
slr0589	H202
sll0185	H202
ssl2162	H202
slr1686	H202
ssl3446	H202
ssr2333	H202
ssr0692	H202
slr1484	H202
slr0270	H202
sll0157	H202
slr1119	H202
slr1413	H202
sll0249	H202
sll0688	H202
ssl0832	H202
sll1158	H202
sll1620	H202
slr0818	H202
sll1514	LIGHT
sll1733	LIGHT
sll1732	LIGHT
slr1641	LIGHT
slr1291	LIGHT
sll1483	LIGHT
sll0170	LIGHT
sll0430	LIGHT
sll1028	LIGHT
sll0217	LIGHT
ssl3044	LIGHT
sll1032	LIGHT
slr0228	LIGHT
slr2076	LIGHT
slr2075	LIGHT
slr1675	LIGHT
sll1031	LIGHT
sll0416	LIGHT
sll1029	LIGHT
slr1604	LIGHT
sll1541	LIGHT
slr1516	LIGHT
sll0218	LIGHT
sll0528	LIGHT
slr1544	LIGHT
slr1963	LIGHT
sll0846	LIGHT
slr0959	LIGHT
sll1734	LIGHT
sll1514	UV
ssl2595	UV
slr1641	UV
sll1483	UV
slr1311	UV
sll1867	UV
ssl2542	UV
slr1687	UV
slr1675	UV
sll0430	UV
slr1604	UV
sll0170	UV
slr0228	UV
slr1285	UV
sll0528	UV
slr1544	UV
sll0846	UV
slr1603	UV
slr1686	UV
